213,'Épinay-sur-Seine','93800'
214,'Saint-André','97440'
215,'Sartrouville','78500'
216,'Villejuif','94800'
217,'Brive-la-Gaillarde','19100'
218,'Clamart','92140'
219,'Chelles','77500'
220,'Sevran','93270'
221,'Albi','81000'
222,'Grasse','06130'
223,'Le Blanc-Mesnil','93150'
224,'Saint-Louis','97450'
225,'Meaux','77100'
226,'Saint-Malo','35400'
227,'Blois','41000'
228,'Cagnes-sur-Mer','06800'
229,'Châteauroux','36000'
230,'Carcassonne','11000'
231,'Bobigny','93000'
232,'Chalon-sur-Saône','71100'
233,'Saint-Brieuc','22000'
234,'Vincennes','94300'
235,'Châlons-en-Champagne','51000'
236,'Tarbes','65000'
237,'Martigues','13500'
238,'Montrouge','92120'
239,'Bayonne','64100'
240,'Angoulême','16000'
241,'Meudon','92190'
242,'Aubagne','13400'
243,'Suresnes','92150'
244,'Castres','81100'
245,'Boulogne-sur-Mer','62200'
246,'Alfortville','94140'
247,'Saint-Herblain','44800'
248,'Saint-Ouen','93400'
249,'Arras','62000'
250,'Puteaux','92800'
251,'Bastia','20200'
252,'Bastia','20600'
253,'Douai','59500'
254,'Istres','13800'
255,'Sète','34200'
256,'Valenciennes','59300'
257,'Compiègne','60200'
258,'Mantes-la-Jolie','78200'
259,'Saint-Germain-en-Laye','78100'
260,'Bourg-en-Bresse','01000'
261,'Le Cannet','06110'
262,'Wattrelos','59150'
263,'Talence','33400'
264,'Gennevilliers','92230'
265,'Livry-Gargan','93190'
266,'Corbeil-Essonnes','91100'
267,'Thionville','57100'
268,'Salon-de-Provence','13300'
269,'Rosny-sous-Bois','93110'
270,'Caluire-et-Cuire','69300'
271,'Cherbourg-Octeville','50100'
272,'Cherbourg-Octeville','50130'
273,'Chartres','28000'
274,'Saint-Priest','69800'
275,'Montluçon','03100'
276,'Vaulx-en-Velin','69120'
277,'Alès','30100'
278,'Massy','91300'
279,'Le Lamentin','97232'
280,'Marcq-en-Baroeul','59700'
281,'Auxerre','89000'
282,'Gap','05000'
283,'Nevers','58000'
284,'Bron','69500'
285,'Garges-lès-Gonesse','95140'
286,'Anglet','64600'
287,'Rezé','44400'
288,'Noisy-le-Sec','93130'
289,'Bagneux','92220'
290,'Melun','77000'
291,'Gagny','93220'
292,'Le Port','97420'
293,'Draguignan','83300'
294,'Vitrolles','13127'
295,'Savigny-sur-Orge','91600'
296,'La Courneuve','93120'
297,'Choisy-le-Roi','94600'
298,'Poissy','78300'
299,'Roanne','42300'
300,'Lens','62300'
301,'Joué-lès-Tours','37300'
302,'Saint-Chamond','42400'
303,'Montélimar','26200'
304,'Saint-Martin-d''Hères','38400'
305,'Échirolles','38130'
306,'Haguenau','67500'
307,'Tremblay-en-France','93290'
308,'Villepinte','93420'
309,'Six-Fours-les-Plages','83140'
310,'Épinal','88000'
311,'Agen','47000'
312,'Châtellerault','86100'
313,'Saint-Joseph','97480'
314,'Mâcon','71000'
315,'Pontault-Combault','77340'
316,'Saint-Raphaël','83700'
317,'Stains','93240'
318,'Sainte-Geneviève-des-Bois','91700'
319,'Montigny-le-Bretonneux','78180'
320,'Bagnolet','93170'
321,'Conflans-Sainte-Honorine','78700'
322,'Dieppe','76200'
323,'Dieppe','76370'
324,'Saint-Laurent-du-Maroni','97320'
325,'Villefranche-sur-Saône','69400'
326,'Creil','60100'
327,'Romans-sur-Isère','26100'
328,'Saint-Benoît','97470'
329,'Neuilly-sur-Marne','93330'
330,'Marignane','13700'
331,'La Ciotat','13600'
332,'Les Mureaux','78130'
333,'Franconville-la-Garenne','95130'
334,'Cambrai','59400'
335,'Maubeuge','59600'
336,'Châtillon','92320'
337,'Thonon-les-Bains','74200'
338,'Dreux','28100'
339,'Liévin','62800'
340,'Colomiers','31770'
341,'Le Perreux-sur-Marne','94170'
342,'Châtenay-Malabry','92290'
343,'Mont-de-Marsan','40000'
344,'Schiltigheim','67300'
345,'Viry-Châtillon','91170'
346,'Sainte-Marie','97438'
347,'Vandoeuvre-lès-Nancy','54500'
348,'Plaisir','78370'
349,'Nogent-sur-Marne','94130'
350,'Houilles','78800'
351,'Sotteville-lès-Rouen','76300'
352,'Malakoff','92240'
353,'Villeneuve-Saint-Georges','94190'
354,'Athis-Mons','91200'
355,'Vallauris','06220'
356,'Périgueux','24000'
357,'Orange','84100'
358,'Aurillac','15000'
359,'Saint-Laurent-du-Var','06700'
360,'Goussainville','95190'
361,'Palaiseau','91120'
362,'Chatou','78400'
363,'Vienne','38200'
364,'Pontoise','95000'
365,'Pontoise','95300'
366,'Annemasse','74100'
367,'Le Chesnay','78150'
